system,backbone,task,n_judges,clarity_task_mean,novelty_task_mean,soundness_task_mean,significance_task_mean,overall_task_mean
MLR-Agent,Sonnet 4.5,iclr2025_bi_align,4,7.25,5.5,2.5,3.25,3.25
MLR-Agent,Sonnet 4.5,iclr2025_buildingtrust,4,7.5,4.25,2.75,3.5,3.25
MLR-Agent,Sonnet 4.5,iclr2025_data_problems,4,7.25,5.75,2.25,3.25,2.75
MLR-Agent,Sonnet 4.5,iclr2025_dl4c,4,7.5,5.25,1.75,3.0,2.5
MLR-Agent,Sonnet 4.5,iclr2025_mldpr,4,8.0,6.25,3.0,5.25,3.75
MLR-Agent,Sonnet 4.5,iclr2025_question,4,7.5,5.5,2.75,3.5,3.25
MLR-Agent,Sonnet 4.5,iclr2025_scope,4,7.25,4.0,2.0,3.0,2.75
MLR-Agent,Sonnet 4.5,iclr2025_scsl,4,7.25,5.5,3.5,4.0,4.25
MLR-Agent,Sonnet 4.5,iclr2025_verifai,4,7.25,4.25,1.5,3.0,2.0
MLR-Agent,Sonnet 4.5,iclr2025_wsl,4,7.5,5.0,2.75,3.5,3.25
MLR-Agent,Opus 4.5,iclr2025_bi_align,4,7.0,5.25,3.5,4.0,4.0
MLR-Agent,Opus 4.5,iclr2025_buildingtrust,4,7.25,5.25,2.5,3.25,3.25
MLR-Agent,Opus 4.5,iclr2025_data_problems,4,7.25,5.25,3.75,4.0,4.25
MLR-Agent,Opus 4.5,iclr2025_dl4c,4,6.75,5.25,2.0,3.0,2.75
MLR-Agent,Opus 4.5,iclr2025_mldpr,4,7.5,5.5,2.75,4.0,3.75
MLR-Agent,Opus 4.5,iclr2025_question,4,7.5,5.5,2.0,3.25,2.75
MLR-Agent,Opus 4.5,iclr2025_scope,4,7.0,5.75,2.25,3.5,2.75
MLR-Agent,Opus 4.5,iclr2025_scsl,4,7.25,4.75,3.0,4.0,3.5
MLR-Agent,Opus 4.5,iclr2025_verifai,4,8.0,5.25,5.0,5.5,5.25
MLR-Agent,Opus 4.5,iclr2025_wsl,4,7.5,4.75,3.75,3.5,4.0
MLR-Agent,Sonnet 4.6,iclr2025_bi_align,4,7.75,6.25,3.25,4.5,3.75
MLR-Agent,Sonnet 4.6,iclr2025_buildingtrust,4,8.0,6.5,5.5,6.25,5.75
MLR-Agent,Sonnet 4.6,iclr2025_data_problems,4,7.5,5.75,3.75,4.0,3.75
MLR-Agent,Sonnet 4.6,iclr2025_dl4c,4,8.0,5.25,5.0,4.75,5.0
MLR-Agent,Sonnet 4.6,iclr2025_mldpr,4,7.75,6.25,4.0,5.5,4.75
MLR-Agent,Sonnet 4.6,iclr2025_question,4,8.0,6.0,4.75,5.75,5.25
MLR-Agent,Sonnet 4.6,iclr2025_scope,4,7.5,5.5,2.25,2.75,2.75
MLR-Agent,Sonnet 4.6,iclr2025_scsl,4,7.75,6.5,3.75,4.75,4.25
MLR-Agent,Sonnet 4.6,iclr2025_verifai,4,7.5,5.5,2.5,3.25,3.0
MLR-Agent,Sonnet 4.6,iclr2025_wsl,4,8.0,6.0,5.75,5.75,6.0
AI Scientist V2,Sonnet 4.5,iclr2025_bi_align,4,6.25,5.0,4.0,4.0,4.0
AI Scientist V2,Sonnet 4.5,iclr2025_buildingtrust,4,6.75,4.25,2.0,3.0,2.5
AI Scientist V2,Sonnet 4.5,iclr2025_data_problems,4,6.75,5.75,2.5,3.0,3.0
AI Scientist V2,Sonnet 4.5,iclr2025_dl4c,4,6.0,3.75,2.0,2.75,2.5
AI Scientist V2,Sonnet 4.5,iclr2025_mldpr,4,6.5,4.25,4.0,4.75,4.25
AI Scientist V2,Sonnet 4.5,iclr2025_question,4,7.25,4.75,6.0,5.5,5.25
AI Scientist V2,Sonnet 4.5,iclr2025_scope,4,7.25,5.25,3.25,4.0,3.75
AI Scientist V2,Sonnet 4.5,iclr2025_scsl,4,7.25,5.25,4.0,4.25,4.0
AI Scientist V2,Sonnet 4.5,iclr2025_verifai,4,6.5,5.0,3.25,3.75,3.25
AI Scientist V2,Sonnet 4.5,iclr2025_wsl,4,6.75,5.25,3.5,4.25,3.75
AI Scientist V2,Opus 4.5,iclr2025_bi_align,4,5.25,4.5,2.5,3.5,3.0
AI Scientist V2,Opus 4.5,iclr2025_buildingtrust,4,6.0,5.75,4.0,5.0,4.5
AI Scientist V2,Opus 4.5,iclr2025_data_problems,4,6.5,4.5,5.25,4.5,4.5
AI Scientist V2,Opus 4.5,iclr2025_dl4c,4,7.25,5.5,5.5,5.25,5.5
AI Scientist V2,Opus 4.5,iclr2025_mldpr,4,3.5,4.0,2.5,3.25,2.5
AI Scientist V2,Opus 4.5,iclr2025_question,4,7.75,6.5,6.0,6.25,6.0
AI Scientist V2,Opus 4.5,iclr2025_scope,4,7.25,6.0,5.25,5.5,5.25
AI Scientist V2,Opus 4.5,iclr2025_scsl,4,6.75,6.0,3.0,3.75,3.5
AI Scientist V2,Opus 4.5,iclr2025_verifai,4,6.25,4.25,3.25,3.25,3.25
AI Scientist V2,Opus 4.5,iclr2025_wsl,4,7.25,5.25,4.5,4.5,4.75
AI Scientist V2,Sonnet 4.6,iclr2025_bi_align,4,6.75,6.25,3.25,5.0,4.25
AI Scientist V2,Sonnet 4.6,iclr2025_buildingtrust,4,6.5,5.5,2.5,3.25,3.25
AI Scientist V2,Sonnet 4.6,iclr2025_data_problems,4,7.0,6.25,3.5,4.25,4.0
AI Scientist V2,Sonnet 4.6,iclr2025_dl4c,4,6.0,5.0,2.75,3.75,3.5
AI Scientist V2,Sonnet 4.6,iclr2025_mldpr,4,5.0,5.25,2.5,4.0,3.0
AI Scientist V2,Sonnet 4.6,iclr2025_question,4,6.5,6.25,3.25,4.25,4.0
AI Scientist V2,Sonnet 4.6,iclr2025_scope,4,7.0,6.0,2.5,3.0,3.0
AI Scientist V2,Sonnet 4.6,iclr2025_scsl,4,7.25,6.0,5.75,6.0,6.0
AI Scientist V2,Sonnet 4.6,iclr2025_verifai,4,6.0,5.25,3.0,3.5,3.5
AI Scientist V2,Sonnet 4.6,iclr2025_wsl,4,6.5,5.75,4.25,5.25,4.25
YouRA,Sonnet 4.5,iclr2025_bi_align,4,8.25,6.25,7.25,6.5,6.5
YouRA,Sonnet 4.5,iclr2025_buildingtrust,4,7.75,6.5,5.5,5.75,5.75
YouRA,Sonnet 4.5,iclr2025_data_problems,4,8.0,5.75,5.75,5.75,6.0
YouRA,Sonnet 4.5,iclr2025_dl4c,4,7.75,5.25,3.0,3.75,3.75
YouRA,Sonnet 4.5,iclr2025_mldpr,4,7.25,5.0,2.5,3.75,3.0
YouRA,Sonnet 4.5,iclr2025_question,4,7.5,3.25,2.25,2.5,2.25
YouRA,Sonnet 4.5,iclr2025_scope,4,7.5,4.5,3.75,4.0,4.0
YouRA,Sonnet 4.5,iclr2025_scsl,4,7.5,5.25,4.75,4.25,4.5
YouRA,Sonnet 4.5,iclr2025_verifai,4,6.75,5.0,2.5,3.25,3.25
YouRA,Sonnet 4.5,iclr2025_wsl,4,6.75,5.5,2.5,3.5,3.0
YouRA,Opus 4.5,iclr2025_bi_align,4,7.5,5.75,1.75,3.0,2.25
YouRA,Opus 4.5,iclr2025_buildingtrust,4,8.25,6.75,6.75,6.75,6.5
YouRA,Opus 4.5,iclr2025_data_problems,4,7.25,4.5,1.75,2.5,2.25
YouRA,Opus 4.5,iclr2025_dl4c,4,7.75,4.75,4.25,3.75,4.25
YouRA,Opus 4.5,iclr2025_mldpr,4,6.75,4.25,4.0,2.75,3.5
YouRA,Opus 4.5,iclr2025_question,4,8.25,3.5,5.25,4.0,4.5
YouRA,Opus 4.5,iclr2025_scope,4,8.0,6.0,5.0,5.25,5.25
YouRA,Opus 4.5,iclr2025_scsl,4,8.0,5.5,6.25,5.5,5.75
YouRA,Opus 4.5,iclr2025_verifai,4,7.5,6.25,3.75,4.0,4.0
YouRA,Opus 4.5,iclr2025_wsl,4,8.0,6.0,7.0,5.75,6.25
YouRA,Sonnet 4.6,iclr2025_bi_align,4,8.0,6.25,7.0,6.25,6.75
YouRA,Sonnet 4.6,iclr2025_buildingtrust,4,7.75,6.5,4.75,5.75,5.5
YouRA,Sonnet 4.6,iclr2025_data_problems,4,7.0,6.0,4.0,5.0,4.5
YouRA,Sonnet 4.6,iclr2025_dl4c,4,8.0,5.25,5.25,4.25,4.75
YouRA,Sonnet 4.6,iclr2025_mldpr,4,7.75,5.75,3.5,5.0,4.5
YouRA,Sonnet 4.6,iclr2025_question,4,8.0,5.5,6.25,5.75,5.75
YouRA,Sonnet 4.6,iclr2025_scope,4,8.0,5.0,4.0,3.5,3.75
YouRA,Sonnet 4.6,iclr2025_scsl,4,7.75,4.75,4.25,3.5,4.0
YouRA,Sonnet 4.6,iclr2025_verifai,4,7.5,6.25,4.75,5.5,5.25
YouRA,Sonnet 4.6,iclr2025_wsl,4,7.5,5.75,5.5,6.0,5.75
